X,org,req,grant,schoolyr,deny,prop_grant,bipoc,community
246,Hoof 'n' Horn,13978,4100,2020-2021,9878,0.293318071254829,N,Non-BIPOC
247,International Association,700,400,2020-2021,300,0.571428571428571,Y,Multicultural group
248,Japanese Culture Club,1115,0,2020-2021,1115,0,N,Asian
249,Kappa Alpha Psi Inc ,15205,3600,2020-2021,11605,0.236764222295298,N,Non-BIPOC
250,"La Unidad Latina Lambda Upsilon Lambda Fraternity, Inc.",2400,1080,2020-2021,1320,0.45,Y,Latinx
251,"Lambda Theta Alpha Latin Sorority, Inc.",5124,1105,2020-2021,4019,0.215651834504294,Y,Latinx
252,Mi Gente,4000,2100,2020-2021,1900,0.525,Y,Latinx
253,Momentum Dance Company,1550,1000,2020-2021,550,0.645161290322581,N,Non-BIPOC
254,Muslim Students Association,12000,1000,2020-2021,11000,0.0833333333333333,Y,Non-BIPOC
255,Nakisai African Dance Ensemble,2050,1400,2020-2021,650,0.682926829268293,Y,Black
256,National Society of Black Engineers,5600,3000,2020-2021,2600,0.535714285714286,Y,Black
257,NeuroCare,450,125,2020-2021,325,0.277777777777778,N,Non-BIPOC
258,Pakistani Students Association,7070,1450,2020-2021,5620,0.205091937765205,Y,Asian
259,Peer Advocacy for Sexual Health,6000,530,2020-2021,5470,0.0883333333333333,N,Non-BIPOC
260,Peer for You,703,300,2020-2021,403,0.42674253200569,N,Non-BIPOC
261,Presbyterian Campus Ministry,3200,1750,2020-2021,1450,0.546875,N,Non-BIPOC
262,Progress. Period.,700,500,2020-2021,200,0.714285714285714,N,Non-BIPOC
263,Project HEAL: Health Education and Awareness in Latin America,2190,1140,2020-2021,1050,0.520547945205479,N,Non-BIPOC
264,Pureun,3400,1900,2020-2021,1500,0.558823529411765,Y,Asian
265,Rotaract Club of Duke University,4748,825,2020-2021,3923,0.173757371524853,N,Non-BIPOC
266,Society of Women Engineers,7125,1815,2020-2021,5310,0.254736842105263,N,Non-BIPOC
267,Sports Clubs ,310600,96500,2020-2021,214100,0.310688989053445,N,Non-BIPOC
268,Street Medicine,4500,1800,2020-2021,2700,0.4,N,Non-BIPOC
269,Student Advisory Board at the DHRC@FHI,1040,390,2020-2021,650,0.375,N,Non-BIPOC
270,Taiwanese American Student Association,1720,1140,2020-2021,580,0.662790697674419,Y,Asian
271,The Archive,6000,4450,2020-2021,1550,0.741666666666667,N,Non-BIPOC
272,The Bridge,1620,550,2020-2021,1070,0.339506172839506,Y,Multicultural group
273,The Gatekeepers,11820,4200,2020-2021,7620,0.355329949238579,N,Non-BIPOC
274,The Muse Magazine (formerly The Phoenix Magazine) ,1000,1000,2020-2021,0,1,N,Non-BIPOC
275,The Standard,994,0,2020-2021,994,0,N,Non-BIPOC
276,United in Praise,4600,100,2020-2021,4500,0.0217391304347826,Y,Black
277,WISER Duke,600,400,2020-2021,200,0.666666666666667,N,Non-BIPOC
278,"Zeta Phi Beta Sorority, Inc.",9872,2700,2020-2021,7172,0.273500810372771,Y,Black
